pilot's name,Success rate,Crash rate,test_time,time
zzc,0.4,0.6,5,2022-03-31~21-48-01
xzh,0.4,0.6,5,2022-04-04~20-16-18
xzh,0.4,0.6,5,2022-04-04~20-16-38
xzh,0.0,1.0,5,2022-04-04~20-17-12
xzh,0.0,1.0,5,2022-04-08~15-35-06
xzh,0.0,1.0,5,2022-04-08~15-35-29
xzh,0.0,1.0,5,2022-04-09~19-22-36
xzh,0.0,1.0,5,2022-04-11~20-26-05
xzh,0.15,0.75,20,2022-04-11~20-26-43
